indicatorId,geoUnit,year,value,qualifier,magnitude
MYS.1T8.AG25T99,ARG,2001,8.869999885559082,,
MYS.1T8.AG25T99,ARG,2003,9.920000076293945,,
MYS.1T8.AG25T99,ARG,2006,10.1899995803833,,
MYS.1T8.AG25T99,ARG,2008,10.40999984741211,,
MYS.1T8.AG25T99,ARG,2009,10.53999996185303,,
MYS.1T8.AG25T99,ARG,2010,10.60000038146973,,
MYS.1T8.AG25T99,ARG,2011,10.69999980926514,,
MYS.1T8.AG25T99,ARG,2012,10.78999996185303,,
MYS.1T8.AG25T99,ARG,2013,10.89000034332275,,
MYS.1T8.AG25T99,ARG,2014,10.90999984741211,,
MYS.1T8.AG25T99,ARG,2015,10.92000007629395,,
MYS.1T8.AG25T99,ARG,2016,10.93000030517578,,
MYS.1T8.AG25T99,ARG,2018,11.10000038146973,,
MYS.1T8.AG25T99,BOL,2000,7.02,,
MYS.1T8.AG25T99,BOL,2001,7.210000038146973,,
MYS.1T8.AG25T99,BOL,2002,6.76,,
MYS.1T8.AG25T99,BOL,2004,6.7,,
MYS.1T8.AG25T99,BOL,2005,7.26,,
MYS.1T8.AG25T99,BOL,2006,6.900000095367432,,
MYS.1T8.AG25T99,BOL,2007,7.87,,
MYS.1T8.AG25T99,BOL,2008,7.199999809265137,,
MYS.1T8.AG25T99,BOL,2009,7.480000019073486,,
MYS.1T8.AG25T99,BOL,2011,8.46,,
MYS.1T8.AG25T99,BOL,2012,8.170000076293945,,
MYS.1T8.AG25T99,BOL,2013,9.02,,
MYS.1T8.AG25T99,BOL,2014,8.46,,
MYS.1T8.AG25T99,BOL,2015,8.930000305175781,,
MYS.1T8.AG25T99,BOL,2016,8.73,,
MYS.1T8.AG25T99,BOL,2017,8.84,,
MYS.1T8.AG25T99,BOL,2018,8.96,,
MYS.1T8.AG25T99,BOL,2019,9.859999656677246,,
MYS.1T8.AG25T99,BRA,2001,6.85,,
MYS.1T8.AG25T99,BRA,2002,7.03,,
MYS.1T8.AG25T99,BRA,2003,7.17,,
MYS.1T8.AG25T99,BRA,2004,5.980000019073486,,
MYS.1T8.AG25T99,BRA,2005,7.41,,
MYS.1T8.AG25T99,BRA,2006,6.320000171661377,,
MYS.1T8.AG25T99,BRA,2007,6.5,,
MYS.1T8.AG25T99,BRA,2008,6.670000076293945,,
MYS.1T8.AG25T99,BRA,2009,6.769999980926514,,
MYS.1T8.AG25T99,BRA,2010,6.880000114440918,,
MYS.1T8.AG25T99,BRA,2011,7.010000228881836,,
MYS.1T8.AG25T99,BRA,2012,7.21999979019165,,
MYS.1T8.AG25T99,BRA,2013,7.289999961853027,,
MYS.1T8.AG25T99,BRA,2014,7.380000114440918,,
MYS.1T8.AG25T99,BRA,2015,7.510000228881836,,
MYS.1T8.AG25T99,BRA,2016,7.730000019073486,,
MYS.1T8.AG25T99,BRA,2017,7.849999904632568,,
MYS.1T8.AG25T99,BRA,2018,7.980000019073486,,
MYS.1T8.AG25T99,BRA,2019,9.64,,
MYS.1T8.AG25T99,CHL,2000,9.66,,
MYS.1T8.AG25T99,CHL,2003,9.89,,
MYS.1T8.AG25T99,CHL,2004,9.699999809265137,,
MYS.1T8.AG25T99,CHL,2006,9.92,,
MYS.1T8.AG25T99,CHL,2007,9.8100004196167,,
MYS.1T8.AG25T99,CHL,2008,10.10999965667725,,
MYS.1T8.AG25T99,CHL,2009,10.32,,
MYS.1T8.AG25T99,CHL,2010,9.850000381469727,,
MYS.1T8.AG25T99,CHL,2011,9.539999961853027,,
MYS.1T8.AG25T99,CHL,2013,10.01000022888184,,
MYS.1T8.AG25T99,CHL,2015,10.26000022888184,,
MYS.1T8.AG25T99,CHL,2017,10.59000015258789,,
MYS.1T8.AG25T99,COL,2002,7.14,,
MYS.1T8.AG25T99,COL,2003,7.24,,
MYS.1T8.AG25T99,COL,2004,7.070000171661377,,
MYS.1T8.AG25T99,COL,2005,7.28000020980835,,
MYS.1T8.AG25T99,COL,2006,6.800000190734863,,
MYS.1T8.AG25T99,COL,2007,7.190000057220459,,
MYS.1T8.AG25T99,COL,2008,7.320000171661377,,
MYS.1T8.AG25T99,COL,2009,7.25,,
MYS.1T8.AG25T99,COL,2010,7.389999866485596,,
MYS.1T8.AG25T99,COL,2011,7.519999980926514,,
MYS.1T8.AG25T99,COL,2012,7.630000114440918,,
MYS.1T8.AG25T99,COL,2013,7.829999923706055,,
MYS.1T8.AG25T99,COL,2014,7.989999771118164,,
MYS.1T8.AG25T99,COL,2015,8.050000190734863,,
MYS.1T8.AG25T99,COL,2016,8.220000267028809,,
MYS.1T8.AG25T99,COL,2017,8.51,,
MYS.1T8.AG25T99,COL,2018,8.5,,
MYS.1T8.AG25T99,COL,2019,8.640000343322754,,
MYS.1T8.AG25T99,ECU,2001,7.94,,
MYS.1T8.AG25T99,ECU,2003,7.91,,
MYS.1T8.AG25T99,ECU,2005,8.11,,
MYS.1T8.AG25T99,ECU,2006,8.09,,
MYS.1T8.AG25T99,ECU,2007,7.71999979019165,,
MYS.1T8.AG25T99,ECU,2008,7.730000019073486,,
MYS.1T8.AG25T99,ECU,2009,7.739999771118164,,
MYS.1T8.AG25T99,ECU,2010,7.849999904632568,,
MYS.1T8.AG25T99,ECU,2011,7.909999847412109,,
MYS.1T8.AG25T99,ECU,2012,8.100000381469727,,
MYS.1T8.AG25T99,ECU,2013,8.289999961853027,,
MYS.1T8.AG25T99,ECU,2014,8.359999656677246,,
MYS.1T8.AG25T99,ECU,2015,8.699999809265137,,
MYS.1T8.AG25T99,ECU,2016,8.6899995803833,,
MYS.1T8.AG25T99,ECU,2017,8.75,,
MYS.1T8.AG25T99,ECU,2018,9.08,,
MYS.1T8.AG25T99,ECU,2019,9.13,,
MYS.1T8.AG25T99,GUY,2002,6.119999885559082,,
MYS.1T8.AG25T99,GUY,2019,8.558639526367188,,
MYS.1T8.AG25T99,PER,2000,7.96,,
MYS.1T8.AG25T99,PER,2001,8.07,,
MYS.1T8.AG25T99,PER,2002,8.28,,
MYS.1T8.AG25T99,PER,2003,8.3,,
MYS.1T8.AG25T99,PER,2004,8.600000381469727,,
MYS.1T8.AG25T99,PER,2005,7.920000076293945,,
MYS.1T8.AG25T99,PER,2006,7.929999828338623,,
MYS.1T8.AG25T99,PER,2007,8.1899995803833,,
MYS.1T8.AG25T99,PER,2008,8.1899995803833,,
MYS.1T8.AG25T99,PER,2009,8.220000267028809,,
MYS.1T8.AG25T99,PER,2010,8.869999885559082,,
MYS.1T8.AG25T99,PER,2011,8.890000343322754,,
MYS.1T8.AG25T99,PER,2012,9.079999923706055,,
MYS.1T8.AG25T99,PER,2013,9.140000343322754,,
MYS.1T8.AG25T99,PER,2014,9.149999618530273,,
MYS.1T8.AG25T99,PER,2015,9.09000015258789,,
MYS.1T8.AG25T99,PER,2016,9.25,,
MYS.1T8.AG25T99,PER,2017,9.29,,
MYS.1T8.AG25T99,PER,2018,9.760000228881836,,
MYS.1T8.AG25T99,PER,2019,9.49,,
MYS.1T8.AG25T99,PRY,2001,6.57,,
MYS.1T8.AG25T99,PRY,2002,6.48,,
MYS.1T8.AG25T99,PRY,2003,6.849999904632568,,
MYS.1T8.AG25T99,PRY,2004,6.88,,
MYS.1T8.AG25T99,PRY,2005,7.349999904632568,,
MYS.1T8.AG25T99,PRY,2006,7.070000171661377,,
MYS.1T8.AG25T99,PRY,2007,7.150000095367432,,
MYS.1T8.AG25T99,PRY,2008,7.389999866485596,,
MYS.1T8.AG25T99,PRY,2009,7.03000020980835,,
MYS.1T8.AG25T99,PRY,2010,7.8,,
MYS.1T8.AG25T99,PRY,2011,8.23,,
MYS.1T8.AG25T99,PRY,2012,7.78000020980835,,
MYS.1T8.AG25T99,PRY,2013,8.289999961853027,,
MYS.1T8.AG25T99,PRY,2014,8.25,,
MYS.1T8.AG25T99,PRY,2015,8.520000457763672,,
MYS.1T8.AG25T99,PRY,2016,8.350000381469727,,
MYS.1T8.AG25T99,PRY,2017,8.81,,
MYS.1T8.AG25T99,PRY,2018,8.59000015258789,,
MYS.1T8.AG25T99,PRY,2019,8.8100004196167,,
MYS.1T8.AG25T99,SUR,2004,7.739999771118164,,
MYS.1T8.AG25T99,SUR,2012,9.149999618530273,,
MYS.1T8.AG25T99,SUR,2013,10.19999980926514,,
MYS.1T8.AG25T99,SUR,2018,8.306050300598145,,
MYS.1T8.AG25T99,URY,2003,8.949999809265137,,
MYS.1T8.AG25T99,URY,2006,8,,
MYS.1T8.AG25T99,URY,2008,8.369999885559082,,
MYS.1T8.AG25T99,URY,2009,8.369999885559082,,
MYS.1T8.AG25T99,URY,2010,8.329999923706055,,
MYS.1T8.AG25T99,URY,2011,8.399999618530273,,
MYS.1T8.AG25T99,URY,2012,8.479999542236328,,
MYS.1T8.AG25T99,URY,2013,8.520000457763672,,
MYS.1T8.AG25T99,URY,2014,8.609999656677246,,
MYS.1T8.AG25T99,URY,2015,8.670000076293945,,
MYS.1T8.AG25T99,URY,2016,8.699999809265137,,
MYS.1T8.AG25T99,URY,2017,8.829999923706055,,
MYS.1T8.AG25T99,URY,2018,8.90999984741211,,
MYS.1T8.AG25T99,URY,2019,8.979999542236328,,
MYS.1T8.AG25T99,VEN,2000,7.57,,
MYS.1T8.AG25T99,VEN,2001,8.069999694824219,,
MYS.1T8.AG25T99,VEN,2002,7.77,,
MYS.1T8.AG25T99,VEN,2003,7.83,,
MYS.1T8.AG25T99,VEN,2004,7.87,,
MYS.1T8.AG25T99,VEN,2005,8.14,,
MYS.1T8.AG25T99,VEN,2006,7.510000228881836,,
